id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,origin_id,destination_id,network_id
49,2019-09-30 15:54:53.577876,,,,,,f,,{},24,39,1
50,2019-09-30 15:54:53.611465,,,,,,f,,{},25,39,1
27,2019-09-30 15:51:38.200996,,,,,,t,2019-09-30 15:55:43.856543,{},30,32,1
28,2019-09-30 15:51:38.290922,,,,,,t,2019-09-30 15:55:43.864796,{},24,32,1
29,2019-09-30 15:51:38.369169,,,,,,t,2019-09-30 15:55:43.87872,{},25,32,1
51,2019-09-30 15:56:26.040198,,,,,,f,,{},6,40,4
52,2019-09-30 15:56:26.063987,,,,,,f,,{},29,40,4
53,2019-09-30 15:56:26.0928,,,,,,f,,{},13,40,4
54,2019-09-30 15:56:28.332799,,,,,,f,,{},30,41,1
55,2019-09-30 15:56:28.359335,,,,,,f,,{},24,41,1
56,2019-09-30 15:56:28.389174,,,,,,f,,{},25,41,1
57,2019-09-30 15:57:16.888263,,,,,,f,,{},27,42,2
58,2019-09-30 15:57:17.03736,,,,,,f,,{},28,42,2
59,2019-09-30 15:57:17.110998,,,,,,f,,{},23,42,2
42,2019-09-30 15:54:11.085201,,,,,,t,2019-09-30 15:57:48.054436,{},10,37,3
43,2019-09-30 15:54:11.226092,,,,,,t,2019-09-30 15:57:48.058057,{},12,37,3
44,2019-09-30 15:54:11.394651,,,,,,t,2019-09-30 15:57:48.062589,{},19,37,3
60,2019-09-30 15:59:43.113111,,,,,,f,,{},10,43,3
61,2019-09-30 15:59:43.14426,,,,,,f,,{},12,43,3
62,2019-09-30 15:59:43.168925,,,,,,f,,{},19,43,3
63,2019-09-30 16:02:39.002119,,,,,,f,,{},30,44,1
64,2019-09-30 16:02:39.058999,,,,,,f,,{},24,44,1
65,2019-09-30 16:02:39.158336,,,,,,f,,{},25,44,1
66,2019-09-30 16:05:05.991396,,,,,,t,2019-09-30 16:08:41.149699,{},6,45,4
67,2019-09-30 16:05:06.047487,,,,,,t,2019-09-30 16:08:41.15684,{},29,45,4
68,2019-09-30 16:05:06.091459,,,,,,t,2019-09-30 16:08:41.163163,{},13,45,4
69,2019-09-30 16:09:22.673616,,,,,,f,,{},27,46,2
70,2019-09-30 16:09:22.705126,,,,,,f,,{},28,46,2
71,2019-09-30 16:09:22.736962,,,,,,f,,{},23,46,2
72,2019-09-30 16:10:38.965402,,,,,,f,,{},10,47,3
73,2019-09-30 16:10:39.038126,,,,,,f,,{},12,47,3
74,2019-09-30 16:10:39.092282,,,,,,f,,{},19,47,3
75,2019-09-30 16:16:46.658068,,,,,,f,,{},7,48,5
76,2019-09-30 16:16:46.708055,,,,,,f,,{},31,48,5
77,2019-09-30 16:16:46.759855,,,,,,f,,{},17,48,5
78,2019-09-30 16:20:15.632752,,,,,,f,,{},6,49,4
79,2019-09-30 16:20:15.676106,,,,,,f,,{},29,49,4
80,2019-09-30 16:20:15.708161,,,,,,f,,{},13,49,4
81,2019-09-30 16:31:14.697156,,,,,,f,,{},39,50,1
82,2019-09-30 16:31:14.722056,,,,,,f,,{},41,50,1
83,2019-09-30 16:31:14.74295,,,,,,f,,{},44,50,1
84,2019-09-30 16:31:17.946446,,,,,,f,,{},33,51,5
85,2019-09-30 16:31:18.006733,,,,,,f,,{},38,51,5
86,2019-09-30 16:31:18.077274,,,,,,f,,{},48,51,5
87,2019-09-30 16:31:35.695128,,,,,,f,,{},35,52,4
88,2019-09-30 16:31:35.812812,,,,,,f,,{},40,52,4
89,2019-09-30 16:31:35.93217,,,,,,f,,{},49,52,4
90,2019-09-30 16:31:49.546455,,,,,,f,,{},36,53,3
91,2019-09-30 16:31:49.584867,,,,,,f,,{},43,53,3
92,2019-09-30 16:31:49.607404,,,,,,f,,{},47,53,3
93,2019-09-30 16:32:44.312775,,,,,,f,,{},46,54,2
94,2019-09-30 16:32:44.359315,,,,,,f,,{},34,54,2
95,2019-09-30 16:32:44.414318,,,,,,f,,{},42,54,2
96,2019-09-30 16:33:19.713254,,,,,,f,,{},33,55,5
97,2019-09-30 16:33:19.744876,,,,,,f,,{},38,55,5
98,2019-09-30 16:33:19.776858,,,,,,f,,{},48,55,5
99,2019-09-30 16:35:49.309647,,,,,,f,,{},46,56,2
100,2019-09-30 16:35:49.342172,,,,,,f,,{},34,56,2
101,2019-09-30 16:35:49.379323,,,,,,f,,{},42,56,2
102,2019-09-30 16:38:35.373933,,,,,,f,,{},35,57,4
103,2019-09-30 16:38:35.400787,,,,,,f,,{},40,57,4
104,2019-09-30 16:38:35.429258,,,,,,f,,{},49,57,4
105,2019-09-30 16:43:22.32054,,,,,,f,,{},39,58,1
106,2019-09-30 16:43:22.47707,,,,,,f,,{},41,58,1
107,2019-09-30 16:43:22.563196,,,,,,f,,{},44,58,1
111,2019-09-30 16:48:41.053225,,,,,,f,,{},33,60,5
112,2019-09-30 16:48:41.085352,,,,,,f,,{},38,60,5
113,2019-09-30 16:48:41.120782,,,,,,f,,{},48,60,5
108,2019-09-30 16:45:35.049806,,,,,,t,2019-09-30 16:50:08.247587,{},36,59,3
109,2019-09-30 16:45:35.078751,,,,,,t,2019-09-30 16:50:08.253817,{},43,59,3
110,2019-09-30 16:45:35.107709,,,,,,t,2019-09-30 16:50:08.260756,{},47,59,3
114,2019-09-30 16:53:59.510843,,,,,,f,,{},36,61,3
115,2019-09-30 16:53:59.540456,,,,,,f,,{},43,61,3
116,2019-09-30 16:53:59.560728,,,,,,f,,{},47,61,3
117,2019-09-30 16:55:45.21148,,,,,,f,,{},46,62,2
118,2019-09-30 16:55:45.244619,,,,,,f,,{},34,62,2
119,2019-09-30 16:55:45.267679,,,,,,f,,{},42,62,2
120,2019-09-30 16:56:10.815733,,,,,,f,,{},39,63,1
121,2019-09-30 16:56:10.832238,,,,,,f,,{},41,63,1
122,2019-09-30 16:56:10.847647,,,,,,f,,{},44,63,1
126,2019-09-30 17:05:13.106334,,,,,,f,,{},35,65,4
127,2019-09-30 17:05:13.192715,,,,,,f,,{},40,65,4
128,2019-09-30 17:05:13.280532,,,,,,f,,{},49,65,4
123,2019-09-30 17:04:02.822852,,,,,,t,2019-09-30 17:06:24.228738,{},36,64,3
124,2019-09-30 17:04:02.866206,,,,,,t,2019-09-30 17:06:24.248354,{},43,64,3
125,2019-09-30 17:04:02.912275,,,,,,t,2019-09-30 17:06:24.27079,{},47,64,3
129,2019-09-30 17:17:49.536692,,,,,,f,,{},36,66,3
130,2019-09-30 17:17:49.580749,,,,,,f,,{},43,66,3
131,2019-09-30 17:17:49.645618,,,,,,f,,{},47,66,3
132,2019-09-30 17:27:00.216284,,,,,,f,,{},52,67,4
133,2019-09-30 17:27:00.244447,,,,,,f,,{},57,67,4
134,2019-09-30 17:27:00.271006,,,,,,f,,{},65,67,4
135,2019-09-30 17:27:06.667723,,,,,,f,,{},50,68,1
136,2019-09-30 17:27:06.698199,,,,,,f,,{},58,68,1
137,2019-09-30 17:27:06.730451,,,,,,f,,{},63,68,1
141,2019-09-30 17:28:29.452645,,,,,,t,2019-09-30 17:30:58.197753,{},51,70,5
142,2019-09-30 17:28:29.510004,,,,,,t,2019-09-30 17:30:58.203599,{},55,70,5
143,2019-09-30 17:28:29.572998,,,,,,t,2019-09-30 17:30:58.217754,{},60,70,5
144,2019-09-30 17:31:30.346781,,,,,,f,,{},54,71,2
145,2019-09-30 17:31:30.380736,,,,,,f,,{},56,71,2
146,2019-09-30 17:31:30.40623,,,,,,f,,{},62,71,2
138,2019-09-30 17:27:38.555485,,,,,,t,2019-09-30 17:31:57.780099,{},53,69,3
139,2019-09-30 17:27:38.588137,,,,,,t,2019-09-30 17:31:57.793895,{},61,69,3
140,2019-09-30 17:27:38.639196,,,,,,t,2019-09-30 17:31:57.81406,{},66,69,3
150,2019-09-30 17:32:24.483729,,,,,,f,,{},51,73,5
151,2019-09-30 17:32:24.510432,,,,,,f,,{},55,73,5
152,2019-09-30 17:32:24.539541,,,,,,f,,{},60,73,5
153,2019-09-30 17:35:56.001166,,,,,,f,,{},52,74,4
154,2019-09-30 17:35:56.033165,,,,,,f,,{},57,74,4
155,2019-09-30 17:35:56.059958,,,,,,f,,{},65,74,4
147,2019-09-30 17:32:04.225238,,,,,,t,2019-09-30 17:36:04.816045,{},53,72,3
148,2019-09-30 17:32:04.289827,,,,,,t,2019-09-30 17:36:04.834939,{},61,72,3
149,2019-09-30 17:32:04.336318,,,,,,t,2019-09-30 17:36:04.85813,{},66,72,3
156,2019-09-30 17:38:20.892424,,,,,,f,,{},53,75,3
157,2019-09-30 17:38:20.911406,,,,,,f,,{},61,75,3
158,2019-09-30 17:38:20.93206,,,,,,f,,{},66,75,3
159,2019-09-30 17:42:42.376734,,,,,,f,,{},50,76,1
160,2019-09-30 17:42:42.394746,,,,,,f,,{},58,76,1
161,2019-09-30 17:42:42.415504,,,,,,f,,{},63,76,1
162,2019-09-30 17:45:07.01271,,,,,,f,,{},53,77,3
163,2019-09-30 17:45:07.041851,,,,,,f,,{},61,77,3
164,2019-09-30 17:45:07.062896,,,,,,f,,{},66,77,3
165,2019-09-30 17:49:42.853419,,,,,,f,,{},51,78,5
166,2019-09-30 17:49:42.87218,,,,,,f,,{},55,78,5
167,2019-09-30 17:49:42.894702,,,,,,f,,{},60,78,5
168,2019-09-30 17:51:56.849157,,,,,,f,,{},54,79,2
169,2019-09-30 17:51:56.891416,,,,,,f,,{},56,79,2
170,2019-09-30 17:51:56.9253,,,,,,f,,{},62,79,2
171,2019-09-30 17:55:36.35422,,,,,,f,,{},53,80,3
172,2019-09-30 17:55:36.374632,,,,,,f,,{},61,80,3
173,2019-09-30 17:55:36.392556,,,,,,f,,{},66,80,3
174,2019-09-30 17:56:33.641747,,,,,,f,,{},50,81,1
175,2019-09-30 17:56:33.662628,,,,,,f,,{},58,81,1
176,2019-09-30 17:56:33.691077,,,,,,f,,{},63,81,1
177,2019-09-30 18:00:08.997613,,,,,,f,,{},52,82,4
178,2019-09-30 18:00:09.080889,,,,,,f,,{},57,82,4
179,2019-09-30 18:00:09.151741,,,,,,f,,{},65,82,4
180,2019-09-30 18:10:41.41733,,,,,,f,,{},51,83,5
181,2019-09-30 18:10:41.497418,,,,,,f,,{},55,83,5
182,2019-09-30 18:10:41.649341,,,,,,f,,{},60,83,5
183,2019-09-30 18:17:15.773506,,,,,,f,,{},54,84,2
184,2019-09-30 18:17:15.82576,,,,,,f,,{},56,84,2
185,2019-09-30 18:17:15.858024,,,,,,f,,{},62,84,2
186,2019-09-30 18:23:04.477405,,,,,,f,,{},76,85,1
187,2019-09-30 18:23:04.825389,,,,,,f,,{},81,85,1
188,2019-09-30 18:23:05.295417,,,,,,f,,{},68,85,1
189,2019-09-30 18:26:10.149114,,,,,,f,,{},75,86,3
190,2019-09-30 18:26:10.188254,,,,,,f,,{},77,86,3
191,2019-09-30 18:26:10.239426,,,,,,f,,{},80,86,3
192,2019-09-30 18:26:18.538681,,,,,,f,,{},74,87,4
193,2019-09-30 18:26:18.564614,,,,,,f,,{},82,87,4
194,2019-09-30 18:26:18.604153,,,,,,f,,{},67,87,4
195,2019-09-30 18:28:07.440276,,,,,,f,,{},78,88,5
196,2019-09-30 18:28:07.531392,,,,,,f,,{},83,88,5
197,2019-09-30 18:28:07.621089,,,,,,f,,{},73,88,5
198,2019-09-30 18:28:23.661515,,,,,,f,,{},79,89,2
199,2019-09-30 18:28:23.710365,,,,,,f,,{},84,89,2
200,2019-09-30 18:28:23.75349,,,,,,f,,{},71,89,2
201,2019-09-30 18:28:49.937436,,,,,,f,,{},74,90,4
202,2019-09-30 18:28:50.026293,,,,,,f,,{},82,90,4
203,2019-09-30 18:28:50.086309,,,,,,f,,{},67,90,4
204,2019-09-30 18:29:34.946242,,,,,,f,,{},79,91,2
205,2019-09-30 18:29:34.999802,,,,,,f,,{},84,91,2
206,2019-09-30 18:29:35.050843,,,,,,f,,{},71,91,2
207,2019-09-30 18:30:42.465671,,,,,,f,,{},78,92,5
208,2019-09-30 18:30:42.516835,,,,,,f,,{},83,92,5
209,2019-09-30 18:30:42.604972,,,,,,f,,{},73,92,5
210,2019-09-30 18:36:14.433572,,,,,,f,,{},75,93,3
211,2019-09-30 18:36:14.469424,,,,,,f,,{},77,93,3
212,2019-09-30 18:36:14.499579,,,,,,f,,{},80,93,3
213,2019-09-30 18:37:25.863794,,,,,,f,,{},76,94,1
214,2019-09-30 18:37:26.12126,,,,,,f,,{},81,94,1
215,2019-09-30 18:37:26.312779,,,,,,f,,{},68,94,1
216,2019-09-30 18:37:58.487552,,,,,,f,,{},74,95,4
217,2019-09-30 18:37:58.508424,,,,,,f,,{},82,95,4
218,2019-09-30 18:37:58.536727,,,,,,f,,{},67,95,4
219,2019-09-30 18:48:04.07198,,,,,,f,,{},75,96,3
220,2019-09-30 18:48:04.100973,,,,,,f,,{},77,96,3
221,2019-09-30 18:48:04.130369,,,,,,f,,{},80,96,3
222,2019-09-30 18:48:17.751042,,,,,,f,,{},76,97,1
223,2019-09-30 18:48:17.776298,,,,,,f,,{},81,97,1
224,2019-09-30 18:48:17.797517,,,,,,f,,{},68,97,1
225,2019-09-30 18:48:19.418544,,,,,,f,,{},78,98,5
226,2019-09-30 18:48:19.435971,,,,,,f,,{},83,98,5
227,2019-09-30 18:48:19.452408,,,,,,f,,{},73,98,5
