id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,type,participant_id,number,question,response
75,2019-09-30 18:30:58.021524,,,,,,f,,{},question,81,1,questionnaire,"{""language"":""Yes"",""education"":""5"",""age"":""2"",""ideology"":""7"",""engagement"":""10"",""difficulty"":""1"",""technical_issues"":""No."",""confusion"":""No.""}"
76,2019-09-30 18:32:10.934459,,,,,,f,,{},question,85,1,questionnaire,"{""language"":""Yes"",""education"":""1"",""age"":""1"",""ideology"":""7"",""engagement"":""10"",""difficulty"":""6"",""technical_issues"":""no problems."",""confusion"":""nope!""}"
77,2019-09-30 18:32:54.739491,,,,,,f,,{},question,86,1,questionnaire,"{""language"":""Yes"",""education"":""5"",""age"":""1"",""ideology"":""5"",""engagement"":""10"",""difficulty"":""5"",""technical_issues"":""None"",""confusion"":""None""}"
78,2019-09-30 18:33:14.649259,,,,,,f,,{},question,83,1,questionnaire,"{""language"":""Yes"",""education"":""6"",""age"":""1"",""ideology"":""10"",""engagement"":""7"",""difficulty"":""1"",""technical_issues"":""no"",""confusion"":""It was a little confusing to try and combine the passages into one thing. One, for instance, said 10 million people would die by 2050, while another said 10 million diseases would be antibiotic resistant by the same year. I figured both probably weren't true, so I had to guess what the actual original message might have said.""}"
79,2019-09-30 18:34:51.301766,,,,,,f,,{},question,84,1,questionnaire,"{""language"":""Yes"",""education"":""6"",""age"":""2"",""ideology"":""1"",""engagement"":""10"",""difficulty"":""2"",""technical_issues"":""No"",""confusion"":""No""}"
80,2019-09-30 18:35:59.817869,,,,,,f,,{},question,87,1,questionnaire,"{""language"":""Yes"",""education"":""7"",""age"":""2"",""ideology"":""10"",""engagement"":""9"",""difficulty"":""2"",""technical_issues"":"""",""confusion"":""""}"
81,2019-09-30 18:42:01.687188,,,,,,f,,{},question,88,1,questionnaire,"{""language"":""Yes"",""education"":""4"",""age"":""3"",""ideology"":""3"",""engagement"":""10"",""difficulty"":""8"",""technical_issues"":""No"",""confusion"":""No""}"
82,2019-09-30 18:42:08.52165,,,,,,f,,{},question,89,1,questionnaire,"{""language"":""Yes"",""education"":""6"",""age"":""3"",""ideology"":""6"",""engagement"":""9"",""difficulty"":""2"",""technical_issues"":""no"",""confusion"":""no""}"
83,2019-09-30 18:50:41.100805,,,,,,f,,{},question,91,1,questionnaire,"{""language"":""Yes"",""education"":""6"",""age"":""1"",""ideology"":""5"",""engagement"":""5"",""difficulty"":""2"",""technical_issues"":""no"",""confusion"":""no""}"
84,2019-09-30 18:53:03.165755,,,,,,f,,{},question,90,1,questionnaire,"{""language"":""No"",""education"":""5"",""age"":""0"",""ideology"":""1"",""engagement"":""9"",""difficulty"":""10"",""technical_issues"":""none"",""confusion"":""With how to do it""}"
85,2019-09-30 18:53:13.21346,,,,,,f,,{},question,92,1,questionnaire,"{""language"":""Yes"",""education"":""7"",""age"":""2"",""ideology"":""9"",""engagement"":""10"",""difficulty"":""4"",""technical_issues"":""no"",""confusion"":""no""}"
86,2019-09-30 18:53:41.126191,,,,,,f,,{},question,93,1,questionnaire,"{""language"":""Yes"",""education"":""3"",""age"":""1"",""ideology"":""6"",""engagement"":""10"",""difficulty"":""6"",""technical_issues"":""no"",""confusion"":""no""}"
