id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,type,network_id,participant_id
56,2019-09-30 16:35:49.236064,,,2,,1,f,,{},particle,2,51
84,2019-09-30 18:17:15.680677,,,3,,1,f,,{},particle,2,79
57,2019-09-30 16:38:35.301358,,,2,,3,f,,{},particle,4,52
58,2019-09-30 16:43:22.054878,,,2,,0,f,,{},particle,1,53
85,2019-09-30 18:23:04.089449,,,4,,0,f,,{},particle,1,80
60,2019-09-30 16:48:40.941488,,,2,,4,f,,{},particle,5,55
59,2019-09-30 16:45:34.978058,,,2,,2,t,2019-09-30 16:50:08.232079,{},particle,3,54
86,2019-09-30 18:26:10.078084,,,4,,2,f,,{},particle,3,81
61,2019-09-30 16:53:59.456526,,,2,,2,f,,{},particle,3,56
62,2019-09-30 16:55:45.119153,,,2,,1,f,,{},particle,2,57
63,2019-09-30 16:56:10.758184,,,2,,0,f,,{},particle,1,58
87,2019-09-30 18:26:18.412031,,,4,,3,f,,{},particle,4,82
65,2019-09-30 17:05:12.992745,,,2,,3,f,,{},particle,4,60
64,2019-09-30 17:04:02.721717,,,2,,2,t,2019-09-30 17:06:24.204921,{},particle,3,59
88,2019-09-30 18:28:07.186595,,,4,,4,f,,{},particle,5,83
66,2019-09-30 17:17:49.438651,,,2,,2,f,,{},particle,3,61
67,2019-09-30 17:27:00.154754,,,3,,3,f,,{},particle,4,62
68,2019-09-30 17:27:06.592457,,,3,,0,f,,{},particle,1,63
89,2019-09-30 18:28:23.582335,,,4,,1,f,,{},particle,2,84
71,2019-09-30 17:31:30.280567,,,3,,1,f,,{},particle,2,66
70,2019-09-30 17:28:29.315596,,,3,,4,t,2019-09-30 17:30:58.164948,{},particle,5,65
69,2019-09-30 17:27:38.46677,,,3,,2,t,2019-09-30 17:31:57.735892,{},particle,3,64
73,2019-09-30 17:32:24.421787,,,3,,4,f,,{},particle,5,67
90,2019-09-30 18:28:49.630861,,,4,,3,f,,{},particle,4,85
91,2019-09-30 18:29:34.80243,,,4,,1,f,,{},particle,2,86
92,2019-09-30 18:30:42.262329,,,4,,4,f,,{},particle,5,87
93,2019-09-30 18:36:14.267605,,,4,,2,f,,{},particle,3,88
94,2019-09-30 18:37:25.64391,,,4,,0,f,,{},particle,1,89
95,2019-09-30 18:37:58.422491,,,4,,3,f,,{},particle,4,90
96,2019-09-30 18:48:04.001625,,,4,,2,f,,{},particle,3,91
97,2019-09-30 18:48:17.666796,,,4,,0,f,,{},particle,1,93
98,2019-09-30 18:48:19.367939,,,4,,4,f,,{},particle,5,92
