id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,assignment_id,event_type
84,2019-09-27 16:20:33.297075,,,,,,f,,{},3TUI152ZZDBWIRPCFC73KB8H2NQQ17,AssignmentAccepted
87,2019-09-27 16:21:34.013307,,,,,,f,,{},3HL8HNGX47PHG72Y59B2NIMMTXYF94,AssignmentReturned
90,2019-09-27 16:24:17.235905,,,,,,f,,{},3EO896NRAYJG5OX8M574TGFQGBRJTK,AssignmentAccepted
93,2019-09-27 16:25:04.451744,,,,,,f,,{},3WLEIWSYHQ5QUJ85FQKNGGQL368H2J,AssignmentSubmitted
96,2019-09-27 16:26:17.727533,,,,,,f,,{},3EO896NRAYJG5OX8M574TGFQGBRJTK,AssignmentAccepted
99,2019-09-27 16:27:34.92898,,,,,,f,,{},34HJIJKLP7K5FYICOTKFOWESVZHV4L,AssignmentReturned
102,2019-09-27 16:28:47.174968,,,,,,f,,{},369J354OFFY0COWVIME8LTVW4B2G65,AssignmentAccepted
105,2019-09-27 16:32:03.239688,,,,,,f,,{},35USIKEBNT46MGDH5QR3BD4T5NQ6N5,AssignmentAccepted
107,2019-09-27 16:36:06.204993,,,,,,f,,{},3PQ8K71NHZ80PZVVMZ3A5CMF2ZJAAH,AssignmentAccepted
110,2019-09-27 16:38:11.890077,,,,,,f,,{},3IKZ72A5B642596S6JU75JH6YMPFND,AssignmentAccepted
76,2019-09-27 16:19:31.59548,,,,,,f,,{},3PMBY0YE29RADVIOE7L1FC1JWKD9CU,AssignmentAccepted
79,2019-09-27 16:19:32.80435,,,,,,f,,{},3A0EX8ZRNAC64RYQ8JHM39OSN8YBYE,AssignmentAccepted
82,2019-09-27 16:20:21.765593,,,,,,f,,{},3HL8HNGX47PHG72Y59B2NIMMTXYF94,AssignmentReturned
85,2019-09-27 16:21:20.417553,,,,,,f,,{},35GMH2SV3G5SHG68CNAE2QWBCVCOEG,AssignmentReturned
88,2019-09-27 16:21:34.752738,,,,,,f,,{},3HL8HNGX47PHG72Y59B2NIMMTXYF94,AssignmentAccepted
91,2019-09-27 16:24:29.033306,,,,,,f,,{},34HJIJKLP7K5FYICOTKFOWESVZHV4L,AssignmentAccepted
94,2019-09-27 16:25:06.491457,,,,,,f,,{},3IKZ72A5B642596S6JU75JH6YMPFND,AssignmentAccepted
97,2019-09-27 16:26:17.779923,,,,,,f,,{},3EO896NRAYJG5OX8M574TGFQGBRJTK,AssignmentReturned
100,2019-09-27 16:27:53.686928,,,,,,f,,{},38BQUHLA9YOQT4YLTLYXFY1KLXUMOU,AssignmentAbandoned
103,2019-09-27 16:29:33.632412,,,,,,f,,{},3S96KQ6I9OS322XGC9LTQIKDBRSTDE,AssignmentSubmitted
108,2019-09-27 16:37:41.484637,,,,,,f,,{},3IKZ72A5B642596S6JU75JH6YMPFND,AssignmentReturned
111,2019-09-27 16:38:15.874125,,,,,,f,,{},3EO896NRAYJG5OX8M574TGFQGBRJTK,AssignmentAccepted
77,2019-09-27 16:19:31.93743,,,,,,f,,{},3E7TUJ2EGEAKINO2E3GCZIJ1HKP9DU,AssignmentAccepted
80,2019-09-27 16:19:32.823631,,,,,,f,,{},3S96KQ6I9OS322XGC9LTQIKDBRSTDE,AssignmentAccepted
83,2019-09-27 16:20:29.981151,,,,,,f,,{},3HL8HNGX47PHG72Y59B2NIMMTXYF94,AssignmentAccepted
86,2019-09-27 16:21:27.823069,,,,,,f,,{},35GMH2SV3G5SHG68CNAE2QWBCVCOEG,AssignmentAccepted
89,2019-09-27 16:24:00.777857,,,,,,f,,{},3HL8HNGX47PHG72Y59B2NIMMTXYF94,AssignmentReturned
92,2019-09-27 16:24:52.559945,,,,,,f,,{},35GMH2SV3G5SHG68CNAE2QWBCVCOEG,AssignmentSubmitted
95,2019-09-27 16:25:20.013897,,,,,,f,,{},3PMBY0YE29RADVIOE7L1FC1JWKD9CU,AssignmentSubmitted
98,2019-09-27 16:26:29.718667,,,,,,f,,{},3E7TUJ2EGEAKINO2E3GCZIJ1HKP9DU,AssignmentSubmitted
101,2019-09-27 16:27:57.469505,,,,,,f,,{},34HJIJKLP7K5FYICOTKFOWESVZHV4L,AssignmentAccepted
104,2019-09-27 16:31:53.098205,,,,,,f,,{},32VNZTT0A9SDMR1VF9F5NZPPAT2R4M,AssignmentSubmitted
106,2019-09-27 16:35:44.406254,,,,,,f,,{},3AAPLD8UCE5KEI2IY54JH3ZB3I4TH4,AssignmentAbandoned
109,2019-09-27 16:37:52.837665,,,,,,f,,{},3EO896NRAYJG5OX8M574TGFQGBRJTK,AssignmentReturned
112,2019-09-27 16:38:57.400232,,,,,,f,,{},3PQ8K71NHZ80PZVVMZ3A5CMF2ZJAAH,AssignmentReturned
113,2019-09-27 16:38:57.447344,,,,,,f,,{},3EO896NRAYJG5OX8M574TGFQGBRJTK,AssignmentReturned
114,2019-09-27 16:39:31.817529,,,,,,f,,{},3L4D84MIL1GQ0F6DMBQFFXC25H5HJH,AssignmentAccepted
115,2019-09-27 16:39:36.483094,,,,,,f,,{},3LRLIPTPESX61C4HYQGZZQPB7B1KAU,AssignmentReturned
116,2019-09-27 16:39:43.18098,,,,,,f,,{},3LRLIPTPESX61C4HYQGZZQPB7B1KAU,AssignmentAccepted
117,2019-09-27 16:39:43.455404,,,,,,f,,{},3ERMJ6L4D0GJ8Y6MCZHV4CFPV84M7O,AssignmentAccepted
118,2019-09-27 16:42:49.410158,,,,,,f,,{},3M23Y66PO4V32T5MDM8PA7EZSM46SN,AssignmentAccepted
119,2019-09-27 16:42:58.299275,,,,,,f,,{},3HYA4D452T76GNHZK0WNDVE8NRVF2J,AssignmentReturned
120,2019-09-27 16:43:11.347325,,,,,,f,,{},3HYA4D452T76GNHZK0WNDVE8NRVF2J,AssignmentAccepted
121,2019-09-27 16:43:33.511867,,,,,,f,,{},369J354OFFY0COWVIME8LTVW4B2G65,AssignmentReturned
122,2019-09-27 16:43:36.31694,,,,,,f,,{},3A0EX8ZRNAC64RYQ8JHM39OSN8YBYE,AssignmentAbandoned
123,2019-09-27 16:43:49.21498,,,,,,f,,{},369J354OFFY0COWVIME8LTVW4B2G65,AssignmentAccepted
124,2019-09-27 16:43:50.547376,,,,,,f,,{},3A0EX8ZRNAC64RYQ8JHM39OSN8YBYE,AssignmentAccepted
125,2019-09-27 16:43:53.079576,,,,,,f,,{},34HJIJKLP7K5FYICOTKFOWESVZHV4L,AssignmentReturned
126,2019-09-27 16:44:04.911252,,,,,,f,,{},3GA6AFUKOQCFF14OJQYSZQVD9K8H3U,AssignmentAccepted
127,2019-09-27 16:44:04.976515,,,,,,f,,{},3GA6AFUKOQCFF14OJQYSZQVD9K8H3U,AssignmentAbandoned
128,2019-09-27 16:44:07.648339,,,,,,f,,{},34HJIJKLP7K5FYICOTKFOWESVZHV4L,AssignmentAccepted
129,2019-09-27 16:44:23.955509,,,,,,f,,{},3LS2AMNW5HEHEJWDLE5EW7LPVYDQO7,AssignmentAccepted
130,2019-09-27 16:44:29.522349,,,,,,f,,{},3TUI152ZZDBWIRPCFC73KB8H2NQQ17,AssignmentAbandoned
131,2019-09-27 16:44:48.198717,,,,,,f,,{},3M23Y66PO4V32T5MDM8PA7EZSM46SN,AssignmentReturned
132,2019-09-27 16:44:52.501768,,,,,,f,,{},3WQQ9FUS6CIRPL78VFJS4W0QUT9B8E,AssignmentAccepted
133,2019-09-27 16:44:57.058253,,,,,,f,,{},3IKZ72A5B642596S6JU75JH6YMPFND,AssignmentSubmitted
134,2019-09-27 16:45:09.815822,,,,,,f,,{},3ERET4BTVOXSWTUC6K2Z3VER1T09KL,AssignmentAccepted
135,2019-09-27 16:45:22.316054,,,,,,f,,{},35USIKEBNT46MGDH5QR3BD4T5NQ6N5,AssignmentReturned
136,2019-09-27 16:45:22.343604,,,,,,f,,{},35USIKEBNT46MGDH5QR3BD4T5NQ6N5,AssignmentAccepted
137,2019-09-27 16:45:22.662812,,,,,,f,,{},3M23Y66PO4V32T5MDM8PA7EZSM46SN,AssignmentAccepted
138,2019-09-27 16:45:54.442251,,,,,,f,,{},3M23Y66PO4V32T5MDM8PA7EZSM46SN,AssignmentReturned
139,2019-09-27 16:46:22.929106,,,,,,f,,{},3L4D84MIL1GQ0F6DMBQFFXC25H5HJH,AssignmentReturned
140,2019-09-27 16:46:22.946977,,,,,,f,,{},3L4D84MIL1GQ0F6DMBQFFXC25H5HJH,AssignmentAccepted
141,2019-09-27 16:46:32.286676,,,,,,f,,{},34MAJL3QP6BL3PGT4JE951M94F143A,AssignmentAccepted
142,2019-09-27 16:47:08.321461,,,,,,f,,{},34MAJL3QP6BL3PGT4JE951M94F143A,AssignmentReturned
143,2019-09-27 16:47:13.247251,,,,,,f,,{},34MAJL3QP6BL3PGT4JE951M94F143A,AssignmentAccepted
144,2019-09-27 16:49:39.094446,,,,,,f,,{},3LRLIPTPESX61C4HYQGZZQPB7B1KAU,AssignmentReturned
145,2019-09-27 16:49:58.350306,,,,,,f,,{},34HJIJKLP7K5FYICOTKFOWESVZHV4L,AssignmentReturned
146,2019-09-27 16:49:59.60697,,,,,,f,,{},34HJIJKLP7K5FYICOTKFOWESVZHV4L,AssignmentAccepted
147,2019-09-27 16:50:00.986814,,,,,,f,,{},3LRLIPTPESX61C4HYQGZZQPB7B1KAU,AssignmentAccepted
148,2019-09-27 16:50:40.119405,,,,,,f,,{},3HYA4D452T76GNHZK0WNDVE8NRVF2J,AssignmentSubmitted
149,2019-09-27 16:51:23.930302,,,,,,f,,{},3SKEMFQBZ5TSIOB21SWL3ZJGHNLK8A,AssignmentAccepted
150,2019-09-27 16:51:58.016668,,,,,,f,,{},35USIKEBNT46MGDH5QR3BD4T5NQ6N5,AssignmentSubmitted
151,2019-09-27 16:52:42.008485,,,,,,f,,{},3L4D84MIL1GQ0F6DMBQFFXC25H5HJH,AssignmentAccepted
152,2019-09-27 16:52:43.236392,,,,,,f,,{},3L4D84MIL1GQ0F6DMBQFFXC25H5HJH,AssignmentReturned
153,2019-09-27 16:53:07.24954,,,,,,f,,{},3ERET4BTVOXSWTUC6K2Z3VER1T09KL,AssignmentSubmitted
154,2019-09-27 16:55:52.41082,,,,,,f,,{},3GA6AFUKOQCFF14OJQYSZQVD9K8H3U,AssignmentSubmitted
155,2019-09-27 16:55:54.06837,,,,,,f,,{},3ERMJ6L4D0GJ8Y6MCZHV4CFPV84M7O,AssignmentReturned
156,2019-09-27 16:55:56.181689,,,,,,f,,{},3ERMJ6L4D0GJ8Y6MCZHV4CFPV84M7O,AssignmentAccepted
157,2019-09-27 16:56:27.772901,,,,,,f,,{},3SKEMFQBZ5TSIOB21SWL3ZJGHNLK8A,AssignmentReturned
158,2019-09-27 16:56:45.246797,,,,,,f,,{},3SKEMFQBZ5TSIOB21SWL3ZJGHNLK8A,AssignmentAccepted
159,2019-09-27 16:57:10.01689,,,,,,f,,{},3WQQ9FUS6CIRPL78VFJS4W0QUT9B8E,AssignmentAccepted
160,2019-09-27 16:57:10.026405,,,,,,f,,{},3WQQ9FUS6CIRPL78VFJS4W0QUT9B8E,AssignmentReturned
161,2019-09-27 16:57:26.677558,,,,,,f,,{},3LRLIPTPESX61C4HYQGZZQPB7B1KAU,AssignmentReturned
162,2019-09-27 16:58:02.443039,,,,,,f,,{},3LRLIPTPESX61C4HYQGZZQPB7B1KAU,AssignmentAccepted
163,2019-09-27 16:58:30.041549,,,,,,f,,{},3WQQ9FUS6CIRPL78VFJS4W0QUT9B8E,AssignmentReturned
164,2019-09-27 16:58:34.356473,,,,,,f,,{},34HJIJKLP7K5FYICOTKFOWESVZHV4L,AssignmentReturned
165,2019-09-27 16:58:40.87818,,,,,,f,,{},3SKEMFQBZ5TSIOB21SWL3ZJGHNLK8A,AssignmentReturned
166,2019-09-27 16:58:51.316647,,,,,,f,,{},3WQQ9FUS6CIRPL78VFJS4W0QUT9B8E,AssignmentAccepted
167,2019-09-27 16:58:51.613352,,,,,,f,,{},34HJIJKLP7K5FYICOTKFOWESVZHV4L,AssignmentAccepted
168,2019-09-27 16:59:12.322424,,,,,,f,,{},3QILPRALQ7JTQUW5Y5O1VR0KBJUN8O,AssignmentAccepted
169,2019-09-27 16:59:19.80552,,,,,,f,,{},3WQQ9FUS6CIRPL78VFJS4W0QUT9B8E,AssignmentReturned
170,2019-09-27 17:00:06.803423,,,,,,f,,{},3MD9PLUKKK28AQXS7VOE8BXOAS1ZN5,AssignmentAccepted
171,2019-09-27 17:00:14.040033,,,,,,f,,{},34HJIJKLP7K5FYICOTKFOWESVZHV4L,AssignmentReturned
172,2019-09-27 17:00:40.512587,,,,,,f,,{},34MAJL3QP6BL3PGT4JE951M94F143A,AssignmentReturned
173,2019-09-27 17:00:49.302448,,,,,,f,,{},3Q5C1WP23OP7P56EVKJ0M0DQ6SP51X,AssignmentAccepted
174,2019-09-27 17:00:58.372951,,,,,,f,,{},3QILPRALQ7JTQUW5Y5O1VR0KBJUN8O,AssignmentReturned
175,2019-09-27 17:01:05.128705,,,,,,f,,{},34MAJL3QP6BL3PGT4JE951M94F143A,AssignmentAccepted
176,2019-09-27 17:01:20.204466,,,,,,f,,{},3QILPRALQ7JTQUW5Y5O1VR0KBJUN8O,AssignmentAccepted
177,2019-09-27 17:03:08.254005,,,,,,f,,{},3ERMJ6L4D0GJ8Y6MCZHV4CFPV84M7O,AssignmentReturned
178,2019-09-27 17:03:08.257792,,,,,,f,,{},3ERMJ6L4D0GJ8Y6MCZHV4CFPV84M7O,AssignmentAccepted
179,2019-09-27 17:04:05.36896,,,,,,f,,{},3ERMJ6L4D0GJ8Y6MCZHV4CFPV84M7O,AssignmentReturned
180,2019-09-27 17:04:30.955108,,,,,,f,,{},369J354OFFY0COWVIME8LTVW4B2G65,AssignmentReturned
181,2019-09-27 17:04:31.022216,,,,,,f,,{},369J354OFFY0COWVIME8LTVW4B2G65,AssignmentAccepted
182,2019-09-27 17:04:42.939901,,,,,,f,,{},3TE3O85732W3JDM8BVWHUKSRQGUR2G,AssignmentAccepted
183,2019-09-27 17:06:35.941906,,,,,,f,,{},3A0EX8ZRNAC64RYQ8JHM39OSN8YBYE,AssignmentReturned
184,2019-09-27 17:06:48.874871,,,,,,f,,{},3A0EX8ZRNAC64RYQ8JHM39OSN8YBYE,AssignmentAccepted
