id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,type,fingerprint_hash,recruiter_id,worker_id,assignment_id,unique_id,hit_id,mode,end_time,base_pay,bonus,status
39,2019-09-27 17:20:18.200004,,,,,,f,,{},participant,360c7ae8fdf4ad859a7b2518d2917666,mturk,39,3XC1O3LBOUAM0EL8PQJH9VSIK1PTLR,39:3XC1O3LBOUAM0EL8PQJH9VSIK1PTLR,39HYCOOPKP9X2N92DAEFGKUXMGRMDI,live,2019-09-27 17:23:38.912516,1,0.18,approved
33,2019-09-27 16:45:22.749246,,,,,,f,,{},participant,76adcd75df14fe8861fd1c6e3445e610,mturk,33,3ERET4BTVOXSWTUC6K2Z3VER1T09KL,33:3ERET4BTVOXSWTUC6K2Z3VER1T09KL,39HYCOOPKP9X2N92DAEFGKUXMGRMDI,live,2019-09-27 16:53:07.261792,1,0.3,approved
35,2019-09-27 16:51:46.82609,,,,,,f,,{},participant,57d7435e3e41975ea1bad3891097a627,mturk,35,3GA6AFUKOQCFF14OJQYSZQVD9K8H3U,35:3GA6AFUKOQCFF14OJQYSZQVD9K8H3U,39HYCOOPKP9X2N92DAEFGKUXMGRMDI,live,2019-09-27 16:55:52.421235,1,0.12,approved
36,2019-09-27 17:14:31.726129,,,,,,f,,{},participant,9d5fb4deff6f1211c681fdcbd524c587,mturk,36,3A0EX8ZRNAC64RYQ8JHM39OSN8YBYE,36:3A0EX8ZRNAC64RYQ8JHM39OSN8YBYE,39HYCOOPKP9X2N92DAEFGKUXMGRMDI,live,2019-09-27 17:19:10.33049,1,0.24,approved
38,2019-09-27 17:20:17.092067,,,,,,f,,{},participant,e13c3a540bc3dad32c35468e7b603c7f,mturk,38,3X66WABAJY61F59DZKGAEQJCULRG3S,38:3X66WABAJY61F59DZKGAEQJCULRG3S,39HYCOOPKP9X2N92DAEFGKUXMGRMDI,live,2019-09-27 17:24:46.225565,1,0.09,approved
37,2019-09-27 17:19:36.903015,,,,,,f,,{},participant,f0a7f7e1bc85e343526d763c0158ae17,mturk,37,3SB5N7Y3O5S5YDAGGXYRCSL5R970GH,37:3SB5N7Y3O5S5YDAGGXYRCSL5R970GH,39HYCOOPKP9X2N92DAEFGKUXMGRMDI,live,2019-09-27 17:23:46.661418,1,0.1,approved
48,2019-09-27 17:40:52.478863,,,,,,f,,{},participant,6979e01ad44c30985b0567aeb74ec28b,mturk,48,30BXRYBRP6LC6Z6CTA9U4N6A7E0WHF,48:30BXRYBRP6LC6Z6CTA9U4N6A7E0WHF,39HYCOOPKP9X2N92DAEFGKUXMGRMDI,live,2019-09-27 17:43:10.565207,1,0.06,approved
41,2019-09-27 17:20:28.918528,,,,,,f,,{},participant,ab19b7e5812406ec834c0b4adbbd2d7b,mturk,41,3180JW2OT60EKMMIL9P6Q09C09Z5JB,41:3180JW2OT60EKMMIL9P6Q09C09Z5JB,39HYCOOPKP9X2N92DAEFGKUXMGRMDI,live,2019-09-27 17:24:58.527986,1,0.36,approved
47,2019-09-27 17:34:01.880982,,,,,,f,,{},participant,49d7e47cdd65ea2585cc00fdd5222d4a,mturk,47,30BUDKLTXFJ6960Q78EFTKWKV135EQ,47:30BUDKLTXFJ6960Q78EFTKWKV135EQ,39HYCOOPKP9X2N92DAEFGKUXMGRMDI,live,2019-09-27 17:39:10.669506,1,0.14,approved
45,2019-09-27 17:27:35.769887,,,,,,f,,{},participant,e2ccfd887bf5d84dd855a21c915638c3,mturk,45,3WS1NTTKE00ZKDEL5DS9U7LTQU70FI,45:3WS1NTTKE00ZKDEL5DS9U7LTQU70FI,39HYCOOPKP9X2N92DAEFGKUXMGRMDI,live,2019-09-27 17:31:57.43871,1,0.11,approved
